"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT05"
"USC00420061","ALPINE, UT US","2017-06-01","0.00","0.0","0.0","83","55","70",
"USC00420061","ALPINE, UT US","2017-06-02","0.00","0.0","0.0","77","50","74",
"USC00420061","ALPINE, UT US","2017-06-03","0.00","0.0","0.0","88","47","86",
"USC00420061","ALPINE, UT US","2017-06-04","0.00","0.0","0.0","91","56","90",
"USC00420061","ALPINE, UT US","2017-06-05","0.00","0.0","0.0","90","58","80",
"USC00420061","ALPINE, UT US","2017-06-06","0.00","0.0","0.0","90","54","89",
"USC00420061","ALPINE, UT US","2017-06-07","0.00","0.0","0.0","92","58","91",
"USC00420061","ALPINE, UT US","2017-06-08","0.00","0.0","0.0","91","62","85",
"USC00420061","ALPINE, UT US","2017-06-09","0.00","0.0","0.0","87","57","86",
"USC00420061","ALPINE, UT US","2017-06-10","0.00","0.0","0.0","86","49","76",
"USC00420061","ALPINE, UT US","2017-06-11","0.00","0.0","0.0","84","52","80",
"USC00420061","ALPINE, UT US","2017-06-12","0.00","0.0","0.0","80","48","62",
"USC00420061","ALPINE, UT US","2017-06-13","0.00","0.0","0.0","70","45","67",
"USC00420061","ALPINE, UT US","2017-06-14","0.00","0.0","0.0","77","44","77",
"USC00420061","ALPINE, UT US","2017-06-15","0.00","0.0","0.0","86","49","83",
"USC00420061","ALPINE, UT US","2017-06-16","0.00","0.0","0.0","88","54","85",
"USC00420061","ALPINE, UT US","2017-06-17","0.00","0.0","0.0","85","65","78",
"USC00420061","ALPINE, UT US","2017-06-18","0.00","0.0","0.0","81","53","80",
"USC00420061","ALPINE, UT US","2017-06-19","0.00","0.0","0.0","90","54","89",
"USC00420061","ALPINE, UT US","2017-06-20","0.00","0.0","0.0","95","61","88",
"USC00420061","ALPINE, UT US","2017-06-21","0.16","0.0","0.0","95","57","94",
"USC00420061","ALPINE, UT US","2017-06-22","0.00","0.0","0.0","94","59","83",
"USC00420061","ALPINE, UT US","2017-06-23","0.00","0.0","0.0","83","50","80",
"USC00420061","ALPINE, UT US","2017-06-24","0.00","0.0","0.0","85","50","84",
"USC00420061","ALPINE, UT US","2017-06-25","0.00","0.0","0.0","89","52","88",
"USC00420061","ALPINE, UT US","2017-06-26","0.00","0.0","0.0","96","56","91",
"USC00420061","ALPINE, UT US","2017-06-27","0.00","0.0","0.0","91","62","84",
"USC00420061","ALPINE, UT US","2017-06-28","0.00","0.0","0.0","86","53","83",
"USC00420061","ALPINE, UT US","2017-06-29","0.00","0.0","0.0","83","56","79",
"USC00420061","ALPINE, UT US","2017-06-30","0.00","0.0","0.0","83","49","82",
"USC00420061","ALPINE, UT US","2017-07-01","0.00","0.0","0.0","90","52","87",
"USC00420061","ALPINE, UT US","2017-07-02","0.00","0.0","0.0","90","59","87",
